CODE,MIN,MODE,MAX,COMMENTS
69031006,0.0,0.0,0.0,G9708
26390003,0.0,0.0,0.0,G9711
410225009,0.0,0.0,0.0,G9717
225365006,0.0,0.0,0.0,"G9719,G9721"
922731000000106,0.0,0.0,0.0,G9724
183944003,0.0,0.0,0.0,"G9726,G9728,G9730,G9732,G9734,G9736"
372089002,0.0,0.0,0.0,"G9727,G9729,G9731,G9733,G9735,G9737,G9739"
243855000,0.0,0.0,0.0,G9742
429091000124105,0.0,0.0,0.0,"G9747,G9749"
183985008,0.0,0.0,0.0,"G9748,G9750"
268925001,0.0,0.0,0.0,G9754
491000124103,0.0,0.0,0.0,G9755
99501000119107,0.0,0.0,0.0,"G9762,G9763"
129019007,0.0,0.0,0.0,G9764
80051000119107,0.0,0.0,0.0,"G9766,G9767"
711141000000109,0.0,0.0,0.0,G9769
371900001,0.0,0.0,0.0,"G9776,G9777"
169741004,0.0,0.0,0.0,G9779
89010004,0.0,0.0,0.0,G9780
414416008,0.0,0.0,0.0,G9782
433051000124103,0.0,0.0,0.0,G9783
77406008,0.0,0.0,0.0,G9784
75367002,0.0,0.0,0.0,"G9788,G9789"
451371000124109,0.0,0.0,0.0,G9791
293962009,0.0,0.0,0.0,"G9800,G9803"
32485007,0.0,0.0,0.0,"G9801,H0035"
416107004,0.0,0.0,0.0,G9806
170647000,0.0,0.0,0.0,G9810
363901006,0.0,0.0,0.0,G9818
1031431000000104,0.0,0.0,0.0,G9820
265060005,0.0,0.0,0.0,G9822
386802000,0.0,0.0,0.0,G9823
448288001,0.0,0.0,0.0,G9828
367336001,0.0,0.0,0.0,"G9829,G9833"
260874000,0.0,0.0,0.0,"G9834,G9842"
419620001,0.0,0.0,0.0,"G9849,G9852,G9859"
309904001,0.0,0.0,0.0,G9853
408934002,0.0,0.03,0.22,H0001
225333008,0.0,0.04,1.12,"H0002,H0023,H0024,H0025"
410229003,0.0,0.13,3.92,H0002
762449006,0.0,0.44,8.04,"H0004,H0030"
408933008,0.0,0.16,1.36,"H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0016,H0020,H0026,H0027,H0028,H0029,H0047,H0050,H2035,H2036"
737492002,0.0,0.47,3.67,"H0007,H0012,H0013,H0014,H0016"
390811008,0.0,0.82,15.2,"H0007,H0035,H2011,S9484,S9485"
737481003,0.0,0.0,0.0,"H0008,H0009,H0010,H0011"
67516001,0.0,0.0,0.0,"H0008,H0009,H0010,H0011,H0012,H0013,H0014"
979391000000102,0.0,0.0,0.0,H0021
408936000,0.0,0.0,0.0,H0022
423899000,0.0,0.0,0.0,H0023
710920002,0.0,0.0,0.0,H0024
418526005,0.0,0.0,0.0,H0025
417096006,0.0,0.0,0.0,H0026
306206005,0.0,0.0,0.0,H0028
386472008,0.0,0.0,0.0,H0030
391281002,0.0,48.92,86.83,H0031
399684003,0.0,0.41,7.72,H0032
390808007,0.0,0.41,7.72,H0032
410265008,0.0,0.01,0.1,H0034
18114009,0.0,0.0,0.0,"H1000,H1001,H1002,H1004,H1005,S9211,S9213,S9214"
439708006,0.0,0.0,0.0,"H1004,S0273,S9097,S9098,S9128"
200619008,0.0,0.08,5.92,H2000
52052004,0.0,0.0,0.0,H2001
702545008,0.0,0.0,0.0,H2027
417699000,0.0,0.0,0.0,"H2035,H2036"
239665000,0.0,277.68,505.62,"L0810,L0820,L0830,L1300,L1310"
228595003,0.0,436.35,794.54,"L0810,L0820,L0830"
18157004,0.0,477.33,801.34,"L1005,L4392"
275249009,0.0,340.71,571.56,"L1005,L1300,L1310"
228596002,0.0,794.99,1333.63,L1005
312346007,12.51,26.32,39.95,"L3600,L3610,L3620,L3630,L3640"
14490000,10.88,36.72,106.81,L4205
118710009,0.0,0.83,2.92,L4392
38162008,1244.22,1244.22,1244.22,"L5250,L5270,L5331"
3895009,0.0,25.19,49.46,"L5400,L5410,L5420,L5430,L5450,L5460,L6380,L6382,L6388"
226007004,0.0,25.19,49.46,"L5400,L5410,L5420,L5430,L5450,L5460,L6380,L6382,L6388"
180045004,169.16,370.67,598.04,"L5400,L5410,L5420,L5430,L5450,L5460,L5700,L5701,L5702,L6380,L6382"
287647007,0.0,0.0,0.0,"L6050,L6055,L6920,L6925"
23425005,0.0,0.0,0.0,"L6200,L6205,L6450,L6940,L6945"
