CODE,MIN,MODE,MAX,COMMENTS
751616,272.83,285.73,298.62,nebivolol 10 MG Oral Tablet [Bystolic]
751620,0.0,142.26,284.53,nebivolol 2.5 MG Oral Tablet [Bystolic]
751623,261.2,293.72,327.55,nebivolol 5 MG Oral Tablet [Bystolic]
801095,14.65,29.31,58.62,NDA020983 60 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]
827075,283.93,305.75,327.56,nebivolol 20 MG Oral Tablet [Bystolic]
845488,0.0,11.14,29.79,ramipril 1.25 MG Oral Capsule
854255,0.0,188.72,373.44,enoxaparin sodium 100 MG/ML Injectable Solution
854901,0.0,50.41,72.19,bisoprolol fumarate 10 MG Oral Tablet
854905,0.0,40.11,55.13,bisoprolol fumarate 5 MG Oral Tablet
854908,0.0,37.73,58.94,bisoprolol fumarate 10 MG / hydrochlorothiazide 6.25 MG Oral Tablet
854916,0.0,34.72,52.05,bisoprolol fumarate 2.5 MG / hydrochlorothiazide 6.25 MG Oral Tablet
854919,13.7,39.24,56.76,bisoprolol fumarate 5 MG / hydrochlorothiazide 6.25 MG Oral Tablet
855812,0.0,79.2,126.28,prasugrel 10 MG Oral Tablet
856448,0.0,16.36,24.89,propranolol hydrochloride 10 MG Oral Tablet
856457,0.0,20.19,28.41,propranolol hydrochloride 20 MG Oral Tablet
856460,0.0,69.16,92.31,24 HR propranolol hydrochloride 120 MG Extended Release Oral Capsule
856481,86.86,108.44,150.27,24 HR propranolol hydrochloride 160 MG Extended Release Oral Capsule
856519,0.0,24.36,37.35,propranolol hydrochloride 40 MG Oral Tablet
856535,0.0,39.17,68.92,24 HR propranolol hydrochloride 60 MG Extended Release Oral Capsule
856556,40.17,54.56,68.11,propranolol hydrochloride 60 MG Oral Tablet
856569,0.0,52.43,79.02,24 HR propranolol hydrochloride 80 MG Extended Release Oral Capsule
856578,11.81,37.83,54.72,propranolol hydrochloride 80 MG Oral Tablet
858804,0.0,16.2,21.44,enalapril maleate 2.5 MG Oral Tablet
858810,0.0,26.77,36.36,enalapril maleate 20 MG Oral Tablet
858813,0.0,19.78,26.33,enalapril maleate 5 MG Oral Tablet
858817,0.0,21.03,29.33,enalapril maleate 10 MG Oral Tablet
859088,36.81,73.62,147.24,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin]
859419,0.0,28.66,62.8,rosuvastatin calcium 40 MG Oral Tablet
859421,440.57,525.46,610.34,rosuvastatin calcium 40 MG Oral Tablet [Crestor]
859424,0.0,17.34,27.59,rosuvastatin calcium 5 MG Oral Tablet
859426,481.86,552.58,623.29,rosuvastatin calcium 5 MG Oral Tablet [Crestor]
859747,0.0,21.39,35.89,rosuvastatin calcium 10 MG Oral Tablet
859749,456.45,546.8,637.15,rosuvastatin calcium 10 MG Oral Tablet [Crestor]
859751,0.0,19.14,28.1,rosuvastatin calcium 20 MG Oral Tablet
859753,476.97,557.39,637.81,rosuvastatin calcium 20 MG Oral Tablet [Crestor]
860510,288.06,364.95,462.27,24 HR carvedilol phosphate 10 MG Extended Release Oral Capsule
860516,0.0,331.29,533.6,24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule
860518,0.0,652.11,1350.58,24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule [Coreg]
861356,0.0,931.67,2120.08,0.8 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe
861646,330.49,660.98,1321.96,pitavastatin calcium 1 MG Oral Tablet [Livalo]
861650,331.85,663.7,1327.4,pitavastatin calcium 2 MG Oral Tablet [Livalo]
861654,336.93,673.86,1347.72,pitavastatin calcium 4 MG Oral Tablet [Livalo]
866412,0.0,23.01,36.14,24 HR metoprolol succinate 100 MG Extended Release Oral Tablet
866419,0.0,32.68,49.77,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet
866427,0.0,12.63,23.53,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet
866429,120.7,136.69,152.69,24 HR metoprolol succinate 25 MG Extended Release Oral Tablet [Toprol]
866436,0.0,14.62,25.53,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet
866438,118.99,127.13,135.28,24 HR metoprolol succinate 50 MG Extended Release Oral Tablet [Toprol]
866508,0.0,0.0,0.0,5 ML metoprolol tartrate 1 MG/ML Injection
866511,0.0,8.77,12.56,metoprolol tartrate 100 MG Oral Tablet
866514,0.0,6.51,11.52,metoprolol tartrate 50 MG Oral Tablet
866516,172.87,345.73,691.46,metoprolol tartrate 50 MG Oral Tablet [Lopressor]
866924,0.0,5.8,9.49,metoprolol tartrate 25 MG Oral Tablet
895996,135.59,271.17,542.34,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent]
